Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
1004,"Nam Sorng Srong",Hydro,Planned,5,,Laos,"Lao Ari Company Laos",,,," ",Laos,Xiangkhoang,Kham,,
1005,"Nam Srom",Hydro,Planned,5,,"South Korea","DMD Development Company Ltd South Korea",,,," ",Laos,Xiangkhoang,Kham,,
1006,"Nam Sui",Hydro,Planned,15,,Thailand,"Phongsapthawi Construction and Transport Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1007,"Nam Tae",Hydro,Planned,12,,Laos,"Hydro Lao Laos",,,," ",Laos,Xiangkhoang,Kham,,
1008,"Nam Tai",Hydro,Planned,7.5,,Thailand,"Tavisai Construction Company Ltd Thailand",,,," ",Laos,"Louang Namtha",Namtha,,
1009,"Nam Talan",Hydro,Planned,3,,Thailand,"Xaypajan Construction Company Ltd Thailand",,,," ",Laos,"Louang Namtha",Namtha,,
1010,"Nam Talui Wangtunamtao",Hydro,Planned,5,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1011,"Nam Tam",Hydro,Planned,5,,"Thailand; Laos","PEA Encom 67 PCT Thailand"," EDL 30 PCT Laos"," Cobrie 3 PCT Thailand",,,," ",Laos,,
1012,"Nam Tam",Hydro,Planned,2.5,,Laos,"Vientiane WERC Laos",,,," ",Laos,Vientiane,Vangvieng,,
1013,"Nam Tam",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua,,
1014,"Nam Tam 3A",Hydro,Planned,5,,Thailand,"Bamsai Development Company"," Ltd.",,,," ",Laos,Xiangkhoang,,
1015,"Nam Tam 3B",Hydro,Planned,5,,Thailand,"Bamsai Development Company"," Ltd.",,,," ",Laos,Xiangkhoang,,
1016,"Nam Tamnoi",Hydro,Planned,5,,Thailand,"Suksimuang Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1017,"Nam Tang",Hydro,Planned,10,,Thailand,"Leelakerd Company Thailand",,,," ",Laos,"Louang Namtha",Namtha,,
1018,"Nam Tang",Hydro,Planned,5,,Thailand,"Suksimuang Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1019,"Nam Tang",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua,,
1020,"Nam Tao",Hydro,Planned,5,,Thailand,"SV Group Switzerland","  Daosavan Company Ltd Thailand",,,," ",Laos,Xiangkhoang,,
1021,"Nam Tao",Hydro,"Under Construction",15,2017,Laos,"Thongcharoen Company Laos",,,," ",Laos,Houaphan,Sopbao,,
1022,"Nam Tarm",Hydro,Planned,47,,Thailand,"Tongpalert Construction Company Thailand",,,," ",Laos,Louangphrabang,Louangphrabang,,
1023,"Nam Teng",Hydro,Planned,15,,"Hong Kong"," China","VSA Company Ltd Hong Kong",,,," ",Laos,Bolikhamxai,,
1024,"Nam Ter",Hydro,Planned,5,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1025,"Nam Ter",Hydro,Planned,12,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1026,"Nam Terng",Hydro,Planned,5,,Thailand,"Charoensab Company",,,," ",Laos,Bolikhamxai,Viengthong,,
1027,"Nam Tha 1",Hydro,Operational,168,2019,"China; Laos","Nam Tha 1 Lao Power Co Ltd: China Southern Power Grid Co 75 PCT China"," EDL 25 PCT Laos",China,"China BFI China",China,"Power Construction Corp",Laos,Bokeo,,
1028,"Nam Tha 2",Hydro,Planned,25,,Thailand,"Ruamjaipatana Construction and Electricity Establishment Company Ltd Thailand",,,," ",Laos,"Louang Namtha",Namtha,,
1029,"Nam Tha 2 Namtha Tadpuak",Hydro,"Under Construction",14.8,2017,Thailand,"Microhyro Power Ltd Thailand",,,," ",Laos,Champasak,Paksong,,
1030,"Nam Tha 3",Hydro,Operational,1.25,2011,Laos,"EDL Laos",,,Laos,"Communal Development"," Construction and Electricity Company Ltd",Laos,"Louang Namtha",,
1031,"Nam Tha Hat Mouk",Hydro,Planned,14,,,,,,," ",Laos,Bokeo,"Pha Oudom",,
1032,"Nam The",Hydro,Planned,15,,,,,,," ",Laos,Phongsali,Phongsaly,,
1033,"Nam Theun 1",Hydro,"Under Construction",670,2022,Thailand,"Pongsak Group",China,"China BFI",China,"Power Construction Corp",Laos,Bolikhamxai,Pakkading,,
1034,"Nam Theun 2",Hydro,Operational,1075,2010,"France; Thailand; Laos","EDF 35 PCT"," EGCO 25 PCT"," LHSE 25 PCT"," ITD 15 PCT","World Bank Group; ADB","World Bank Group"," ADB",France,,
1035,"Nam Theun 4",Hydro,Planned,80,,Laos,"SSPT Lao Construction Design Laos",,,," ",Laos,Bolikhamxai,Khamkheuth,,
1036,"Nam Theun Kaeng Seuaten",Hydro,Planned,54,,Laos,"EDL Laos",,,," ",Laos,Bolikhamxai,Khamkheuth,,
1037,"Nam Thien",Hydro,Operational,,2001,,,,,," ",Laos,Xaignabouri,Xayabury,,
1038,"Nam Tim",Hydro,Planned,9,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1039,"Nam To",Hydro,Planned,5,,Laos,"Vientiane Automobile and SM Engineering Company Ltd Laos",,,," ",Laos,Xiangkhoang,Kham,,
1040,"Nam Tong",Hydro,Planned,8.4,,Thailand,"Wansomai Songserm Painting Company Thailand",,,," ",Laos,"Louang Namtha",Namtha,,
1041,"Nam Tong",Hydro,Planned,5,,Thailand,"Duangtavorn Construction Development Company Ltd Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1042,"Nam Toong",Hydro,"Under Construction",34,,Vietnam,"Sa Pa Northern Electrical Development Vietnam",,,China,"Zhejiang Hydropower Construction and Installation Co"," Ltd China",Vietnam,"Lao Cai",,
1043,"Nam Tow",Hydro,Planned,5,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1044,"Nam Tow",Hydro,Planned,12,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1045,"Nam Tow 4 Tornteng",Hydro,Planned,1,,Thailand,"SVT Laos and Daosavan Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1046,"Nam Toy",Hydro,Planned,15,,Thailand,"Songmi Construction"," Design"," Hydropower and Transport Company Thailand",,,," ",Laos,,
1047,"Nam Trum",Hydro,Planned,0.01,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1048,"Nam Trum Torn Lum",Hydro,Planned,5,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1049,"Nam Tu Hsipaw",Hydro,Planned,100,,China,"Natural Current Energy Hydropower Co"," Ltd. China",,,," ",Myanmar,Shan,,
1050,"Nam Tum 1",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company Thailand",,,," ",Laos,Phongsali,Phongsaly,,
1051,"Nam Tum 2",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company Thailand",,,," ",Laos,Phongsali,Phongsaly,,
1052,"Nam Tum 3",Hydro,Planned,15,,Thailand,"Thongcharoen Construction Development Company Thailand",,,," ",Laos,Phongsali,Phongsaly,,
1053,"Nam Tung",Hydro,Planned,12.5,,Thailand,"Malinitacharoensai Construction Thailand",,,," ",Laos,Bolikhamxai,Pakkading,,
1054,"Nam Tung Torn Terng",Hydro,Planned,15,,Thailand,"LBSS Company Thailand",,,," ",Laos,Bolikhamxai,Pakkading,,
1055,"Nam Turm",Hydro,Planned,5,,Thailand,"Simsaluk Advising Company Ltd  Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1056,"Nam Wang",Hydro,Planned,5,,Thailand,"Pantaving Company Thailand",,,," ",Laos,Xiangkhoang,Kham,,
1057,"Nam Wang",Hydro,Planned,1,,Thailand,"Bamtong Antay Company",,,," ",Laos,Houaphan,Xamneua,,
1058,"Nam Xa Thuy dien Nam Xa",Hydro,Operational,9.6,2015,Vietnam,"CONG TY CO PHAN VA XAY DUNG LAM SON",,,," ",Vietnam,"Son La","Muong La",,
1059,"Nam Xam 4",Hydro,Planned,100,,"USA; Laos","Simon Consulting Co USA"," Ltd"," EDL 20 PCT stake Laos",,,," ",Laos,,
1060,"Nam Xan 1",Hydro,Planned,7,,Laos,"Intra Group Laos",,,," ",Laos,Bolikhamxai,Viengthong,,
1061,"Nam Xaynoi",Hydro,Planned,14,,Thailand,"Namsodsamlord Suemtaifahraynoi Thailand",,,," ",Laos,Bolikhamxai,Viengthong,,
1062,"Nam Xong",Hydro,Operational,6,,Laos,Government," Luangpaseuth Co Laos",,,," ",Laos,"Vientiane prefecture",,
1063,"Nam Xuang",Hydro,Operational,,,,,,,," ",Laos,"Vientiane prefecture",Naxaithong,,
1064,"Nam Yam",Hydro,Planned,5,,"South Korea","DMD Company Ltd South Korea",,,," ",Laos,"Louang Namtha",Namtha,,
1065,"Nam Yang",Hydro,Planned,5,,Thailand,"Pongpad Construction Transport and Hydropower Company Ltd Thailand",,,," ",Laos,Xaignabouri,Xayabury,,
1066,"Nam Yerng",Hydro,Planned,15,,Thailand,"Tamtum Thailand",,,," ",Laos,Xekong,Lamarm,,
1067,"Nam Yerng 5",Hydro,Planned,8,,Thailand,"MP Thailand",,,," ",Laos,Xekong,Lamarm,,
1068,"Nam Yerng 7",Hydro,Planned,12,,Thailand,"MP Thailand",,,," ",Laos,Xekong,Lamarm,,
1069,"Nam Yong",Hydro,Planned,9,,Thailand,"Naktao 2010 Company Thailand",,,," ",Laos,Houaphan,Xamneua,,
1070,"Nam Yong",Hydro,Planned,5,,Thailand,"Sukkasem Construction and Transport Company Ltd Thailand",,,," ",Laos,Bolikhamxai,Viengthong,,
1071,"Nam Yong 8",Hydro,Operational,60,2012,"Norway; Thailand; Laos","EDL 60 PCT Laos"," GMS Power 20 PCT Thailand"," Statkraf 20 PCT Norway",,,," ",Laos,,
1072,"Namhtwan Upper",Hydro,Operational,3.2,2019,Myanmar,"MOEP Myanmar",,,Switzerland,"STUCKY SA Switzerland",Myanmar,Kachin,Putao,,
1073,"Namjae Tomlum 1",Hydro,"Under Construction",15,2019,Laos,"Right To Lao Laos",,,," ",Laos,"Louang Namtha",Namtha,,
1074,"Namjae Tomlum 2",Hydro,"Under Construction",7.5,2019,Laos,"Right To Lao Laos",,,," ",Laos,"Louang Namtha",Namtha,,
1075,"Namkha Nam Hka",Hydro,Planned,210,,China,"China Southern Power Grid Yunnan International Co",,,," ",Myanmar,Shan,Lasho,,
1076,"Namnom 1",Hydro,"Under Construction",7.3,2018,Thailand,"Phongsapthawi and Chonlapathan Company Ltd Thailand",,,," ",Laos,Houaphan,Xamneua,,
1077,Nampatay,Hydro,"Under Construction",14,2016,Laos,DSK,,,," ",Laos,Champasak,Pathoomphone,,
1078,"Nampatay Lum",Hydro,"Under Construction",3,2016,Thailand,"Visahasuanbukkhon Songsermhattaka Thailand",,,," ",Laos,Houaphan,Xamneua,,
1079,"Namperm 1",Hydro,"Under Construction",9.2,2017,Thailand,"Phongsapthawi Construction Company Thailand"," Devasatarn"," Simsapatarn Ltd Thailand",,,," ",Laos,,
1080,Namsay,Hydro,Planned,5,,Laos,"Vientiane Tangmo Construction Ltd Laos",,,," ",Laos,Bolikhamxai,Viengthong,,
1081,"Namtabat 1 Nam Tabak I",Hydro,Planned,141,,"China; Myanmar","China Guodian"," Tun Thwin Mining",,,"China; Myanmar","China Guodian China/Tun Thwin MiningMyanmar",Myanmar,Kachin,,
1082,"Namtabat 2 Nam Tabak II",Hydro,Planned,144,,"China; Myanmar","China Guodian"," Tun Thwin Mining",,,"China; Myanmar","China Guodian China/Tun Thwin MiningMyanmar",Myanmar,Kachin,,
1083,Nancho,Hydro,Operational,40,2010,China,"Yunnan Machinery & Equipment Import & Export Co YMEC China",,,," ",Myanmar,Mandalay,Yamethin,,
1084,"Nansha dam",Hydro,Operational,150,2010,China,"Honghe Guangyuan Development Co Ltd.；",China,,China,"#2 Guangdong Water and Hydropower Bureau"," Xiantou City Naiyuan Construction Co Litd"," Dongguan City Changyuan Co Ltd",China,,
1085,"Naopha Naung Pha",Hydro,Planned,1200,,"China; Myanmar","Power Construction Corporation China"," International Group of Entrepreneurs Myanmar",,,China,"HydroChina Corp.",Myanmar,Shan,,
1086,"Naresuan Dam",Hydro,Operational,8,,Thailand,"EGAT Thailand",,,," ",Thailand,Phitsanulok,"Phrom Phiram",,
1087,"Natcore nha may dien mat troi Natcore",Solar,Planned,200,2016,USA,"Natcore Technology USA",,,," ",Vietnam,"Binh Thuan","Phan Thiet",,
1088,"National Power Plant 11 Co"," Ltd.",Biomass,Unknown,11,,Thailand,"National Power Plant 11 Co"," Ltd.",,,," ",Thailand,,
1089,"National Power Plant 2 Co"," Ltd.",Biomass,Unknown,8,,Thailand,"National Power Plant 2 Co"," Ltd.",,,," ",Thailand,,
1090,"National Power Plant 3 Co"," Ltd",Biomass,Unknown,41,,Thailand,"National Power Plant 3 Co"," Ltd",,,," ",Thailand,,
1091,"National Power Plant 5 Co"," Ltd.",Biomass,Unknown,50,,Thailand,"National Power Plant 5 Co"," Ltd.",,,," ",Thailand,,
1092,"National Solar Park Project",Solar,"Under Construction",100,2021,Cambodia,EdC,ADB,ADB,Cambodia,"Prime Road Alternative",Cambodia,"Kampong Chhnang","Kampong Chhnang",,
1093,"Ngan Tae",Gas,Operational,230,2014,Myanmar,"Myanmar Lighting Myanmar","Thailand; Singapore","Siamgas and Petrochemicals Public Company Thailand; United Overseas Bank Singapore",Singapore,"Asiatech Energy Singapore",Myanmar,Mon,Mawlamyine,,
1094,Ngaphaipi,Hydro,Planned,30,,China,"PowerChina International China",,,," ",Myanmar,Chin,Palam,,
1095,Ngayokekaung,Coal,Planned,540,,"Myanmar; Japan","A1 Group"," Mitsubishi Corp.",,,," ",Myanmar,Ayeyarwady,,
1096,"Nghi Son 1 Nha may Nhiet dien Nghi Son 1",Coal,Operational,600,2014,Vietnam,EVN," Tap doan Đien luc Viet Nam Genco No 1",Japan,JICA,Japan,"Marbeni Japan",Vietnam,"Thanh Hoa",,
1097,"Nghi Son 2 Nha may Nhiet dien Nghi Son 2",Coal,"Under Construction",1200,2022,"Japan; South Korea","Marubeni Corporation Japan & Korea Electric Power Company South Korea Tap doan Đien luc Han Quoc va Tap doan Marubeni","South Korea; Japan; Singapore; Malaysia","Export-Import Bank of Korea Kexim; Japan Bank for International Cooperation JBIC; DBS Bank Singapore; Mizuho Japan; MUFG Japan; SMBC Japan; Shinsei Bank Japan; OCBC Singapore; Maybank Malaysia",," ",Vietnam,"Thanh Hoa","Tinh Gia",,
1098,"Ngoi Hut 1",Hydro,Operational,8.4,2011,Vietnam,"Song Hong Joint Stock Corporation",,,," ",Vietnam,"Yen Bai","Van Yen",,
1099,"Ngoi Hut 2",Hydro,Operational,48,2014,Vietnam,"Truong Thanh Investment Construction and Development JSC",,,," ",Vietnam,"Yen Bai","Mu Cang Chai",,
1100,"Ngoi Phat",Hydro,Operational,72,2014,Vietnam,"VINACONEX Vietnam; Northern Electricity development and investment JSC. No2",,,Vietnam,"VINACONEX Vietnam",Vietnam,"Lao Cai","Bat Xat",,
1101,"Ngoi Xan 1",Hydro,Operational,10.5,2007,Vietnam,"Nam Tien Lao Cai JSC.",,,," ",Vietnam,"Lao Cai","Bat Xat",,
1102,"Ngoi Xan 2",Hydro,Operational,8,2008,Vietnam,"Nam Tien Lao Cai JSC.",,,," ",Vietnam,"Lao Cai","Bat Xat",,
1103,"Nhi Ha Bitexco Nha may dien mat troi Nhi Ha Bitexco",Solar,Planned,50,2019,Vietnam,"CT TNHH MTV Solar Power Ninh Thuan",,,," ",Vietnam,"Ninh Thuan","Thuan Nam",,
1104,"Nhi Ha Thuan Nam 13 Nha may dien mat troi Nhi Ha Thuan Nam 13",Solar,Planned,50,2019,Vietnam,"CT TNHH MTV Solar Power Ninh Thuan",,,," ",Vietnam,"Ninh Thuan","Thuan Nam",,
1105,"Nho Que 1",Hydro,"Under Construction",36,,Vietnam,"Northern Electrical Development Vietnam",,,," ",Vietnam,"Ha Giang","Meo Vac",,
1106,"Nho Que 2",Hydro,Operational,48,,,,,,," ",Vietnam,"Ha Giang","Meo Vac",,
1107,"Nho Que 3",Hydro,Operational,110,,Vietnam,"Bitexco Group",,,," ",Vietnam,"Ha Giang","Meo Vac",,
1108,"Nhon Trach 1 Đien luc Dau khi Nhon Trach",Gas,Operational,450,2008,Vietnam,"Can Tho Thermal Power Company CTTP",,,," ",Vietnam,"Đong Nai","Nhon Trach",,
1109,"Nhon Trach 2 Đien luc Dau khi Nhon Trach",Gas,Operational,760,2011,Vietnam,"Can Tho Thermal Power Company CTTP",,,," ",Vietnam,"Đong Nai","Nhon Trach",,
1110,"Nhon Trach Formosa",Coal,Operational,150,2004,Taipei," Taiwan; Vietnam","Hung Nghiep Formosa Ha Tinh Steel Corporation Taiwan"," Vietnam",,,," ",Vietnam,,
1111,"Nha may dien mat troi thon Vinh Nam"," thon Vinh Đong",Solar,Planned,50,2019,Vietnam,"Cty CP Nang Luong AMI Khanh Hoa",,,," ",Vietnam,"Khanh Hoa",,
1112,"Nha may dien sinh khoi Doosan - KCN Minh Hung",Biomass,Operational,19,2015,"South Korea","Doosan Corp",,,," ",Vietnam,"Binh Phuoc","Chon Thanh",,
1113,"Ninh Binh Nha may nhiet dien Ninh Binh",Coal,Operational,100,1974,Vietnam,"Cong ty Co phan Nhiet dien Ninh Binh"," SPV subsidiary of Vietnam Electricity EVN",,,," ",Vietnam,"Ninh Binh",,
1114,"Ninh Binh 2 Nha may nhiet dien Ninh Binh mo rong",Coal,Cancelled,330,2015,Vietnam,"Cong ty Co phan Nhiet dien Ninh Binh"," SPV subsidiary of Vietnam Electricity EVN",Japan,JICA,Japan,JICB,Vietnam,"Ninh Binh",,
1115,"Noen Po Solar Power Plant",Solar,Operational,5.6,,Thailand,"Gunkul Chubu Powergen Company Limited Thailand",,,," ",Thailand,Phichit,"Sam Ngam",,
1116,"Nong Khae",Gas,Operational,126,2000,Thailand,"EGCO Electricity Generating Public Company"," Ltd.",,,," ",Thailand,Saraburi,,
1117,"Nong Khai 1 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Nong Khai 1 Company Limited Thailand",,,," ",Thailand,"Bueng Kan","Bung Khong Long",,
1118,"Nong Khai Solar Farm",Solar,Operational,6,,Thailand,"SPCG Public Company Limited Thailand",,,," ",Thailand,"Bueng Kan","Bung Khong Long",,
1119,"Nong On Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV9 Project Thailand",,,," ",Thailand,"Suphan Buri","U Thong",,
1120,"Nong Saeng",Gas,Operational,1600,2014,Japan,"Gulf JP NS owned by J-Power etc.","Japan; ADB","JBIC; ADB",," ",Thailand,Saraburi,"Nong Saeng",,
1121,"Nong Seuam",Hydro,Operational,,,,,,,," ",Laos,"Vientiane prefecture",Xaythany,,
1122,"Nong Son Nha may nhiet dien Nong Son",Coal,Operational,30,2014,Vietnam,"Vinamomin Vietnam",,,," ",Vietnam,"Quang Nam","Nong Son",,
1123,"Nongkrathum 4 Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV4 Project Thailand",,,," ",Thailand,"Suphan Buri","Doembang Nangbua",,
1124,"Nongkrathum 5 Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV5 Project Thailand",,,," ",Thailand,"Suphan Buri","Doembang Nangbua",,
1125,"Nongyasai Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV3 Project Thailand",,,," ",Thailand,"Suphan Buri","Nong Ya Sai",,
1126,"North Bangkok Block 1-2",Gas,Operational,1552.3,2016,Thailand,"EGAT Thailand",,,," ",Thailand,Nonthaburi,"Bang Kruai",,
1127,"North Bangkok Power Station",Gas,Operational,704,2010,Thailand,"Electric Generating Authority of Thailand",,,," ",Thailand,Nonthaburi,"Bang Kruai",,
1128,"Nuoc Trong",Hydro,Operational,16.5,2012,Vietnam,"Nuoc Trong Hydropower JSC",,,," ",Vietnam,"Quang Ngai","Son Ha",,
1129,Nuozhadu,Hydro,Operational,5850,2012,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,Puer,,
1130,"O Chum II",Hydro,Operational,1,,,,,,," ",Cambodia,"Ratanak Kiri","Ou Chum",,
1131,"O Mon 1 Nha May Nhiet Đien O Mon",Gas,Operational,660,2015,Vietnam,"EVN GENCO 2 - Vietnam Electricity EVN",,,," ",Vietnam,"Can Tho","O Mon",,
1132,"O Mon 2 Nha May Nhiet Đien O Mon",Gas,Planned,1050,2026,"Vietnam; Japan",EVN," Vietracimex-Marubeni","Vietnam; Japan",EVN," Vietracimex"," JICA",," ",,
1133,"O Mon 3 Nha May Nhiet Đien O Mon",Gas,Planned,1050,2022,Vietnam,EVN,,,," ",Vietnam,"Can Tho","O Mon",,
1134,"O Mon 4 Nha May Nhiet Đien O Mon",Gas,Planned,1050,2023,Vietnam,EVN,"Germany; ADB","ADB; KfWGermany",," ",Vietnam,"Can Tho","O Mon",,
1135,"O Phlai I",Hydro,Planned,5,,,,,,," ",Cambodia,"Ratanak Kiri","Ou Chum",,
1136,"O Phlai II",Hydro,Planned,4,,,,,,," ",Cambodia,Mondulkiri,"Ou Reang",,
1137,"O Phlai III",Hydro,Planned,5,,,,,,," ",Cambodia,Mondulkiri,"Ou Reang",,
1138,"O Phlai IV",Hydro,Planned,7,,,,,,," ",Cambodia,Mondulkiri,"Pechr Chenda",,
1139,"O Sla",Hydro,Planned,2,,,,,,," ",Cambodia,Mondulkiri,"Pechr Chenda",,
1140,"O Tourou Trav",Hydro,Planned,1,,,,,,," ",Cambodia,Kampot,"Tuek Chhou",,
1141,"Oak Kan",Wind,Planned,50,,China,"China Three Gorges China",,,," ",Myanmar,Yangon,Yangon-N,,
1142,"OASIS Factory Rooftop Installation He Thong Đien Mat Troi Ap Mai Tai Cong Ty TNHH May OASIS",Solar,Operational,0.23,2017,Vietnam,"SolarESCO a Solar BK subsidiary Vietnam",Vietnam,"Solar ESCO Vietnam corporate finance using IFC model",," ",Vietnam,"Ho Chi Minh","Cu Chi",,
1143,"Odar Meanchey Coal Plant",Coal,"Under Construction",265,2021,"Cambodia; China","Han Seng Coal Mine Company"," Electricite Du Cambodge"," Guodian Kangneng",Cambodia,"Han Seng Coal Mine","Cambodia; China","Han Seng Coal Mine Company"," Guodian Kangneng Technology",,
1144,Oromis-Oromleng,Hydro,Operational,0.37,2008,Japan,J-Power,,,," ",Cambodia,Mondulkiri,"Saen Monourom",,
1145,"P.S. CH. Biogas Plant",Waste,Unknown,1,,Thailand,"P.S. CH. Food Products Co Ltd.",,,," ",Thailand,"Si Sa Ket","Khun Han",,
1146,"P.S. CH. Biogas Plant",Waste,Unknown,1,,Thailand,"P.S. CH. Food Products Co Ltd.",,,," ",Thailand,"Si Sa Ket","Khun Han",,
1147,"Pa Chien Thuy dien Pa Chien",Hydro,Operational,22,2013,Vietnam,"Pa Chien Hydro Power JSC.",,,," ",Vietnam,"Son La","Muong La",,
1148,"Pac Ma Thuy dien Pac Ma",Hydro,Operational,140,2020,Vietnam,"Cong ty co phan thuy dien Pac Ma",,,Vietnam,"Cong ty co phan Song Đa 4",Vietnam,"Lai Chau","Muong Te",,
1149,"Pae Tin Wa",Hydro,Planned,30,,China,"PowerChina International China",,,," ",Myanmar,Chin,Mindat,,
1150,"Pak Beng",Hydro,Planned,912,2025,"China; Laos","China Datang Overseas 81 PCT"," Lao Government 19 PCT",,,"China; Laos","Datang Pak Beng Hydropower Co"," Ltd.",Laos,,
1151,"Pak Chom",Hydro,Planned,1076,,Thailand,"Thai Developer Thailand",,,," ",Laos,"Vientiane prefecture",Sangthong,,
1152,"Pak Lay",Hydro,Planned,770,2029,China,CEIEC," POWERCHINA",China,"China EXIM Bank China",China,"Power Construction Corp China",Laos,Xaignabouri,,
1153,"Pak Mun Dam",Hydro,Operational,136,1993,Thailand,"EGAT Thailand","World Bank Group","World Bank Group",," ",Thailand,"Ubon Ratchathani","Khong Chiam",,
1154,"Pak Ngum",Hydro,Planned,70,,Laos,"Vientiane Automation Laos",,,," ",Laos,"Vientiane prefecture",Mayparkngum,,
1155,"Pak Phanang",Wind,Operational,10,2018,Thailand,"BCPG PLC",,,," ",Thailand,"Nakhon Si Thammarat","Pak Phanang",,
1156,"Pakthongchai  Solar Project",Solar,Unknown,9,,Thailand,"Bangkhenchai Co"," Ltd.",,,," ",Thailand,"Nakhon Ratchasima",,
1157,"Panare Power Station",Coal,Planned,1000,2034,Thailand,"EGAT Thailand",,,," ",Thailand,Pattani,Panare,,
1158,Pantai,Solar,Operational,5,2015,Thailand,"Enmax Holding Thailand Co Ltd."," GCL-SI  Thailand",,,China,"GCL-SI China",Thailand,Pattani,,
1159,"Pasak Jolasid Dam",Hydro,Operational,6.7,1999,Thailand,"EGAT Thailand",,,," ",Thailand,"Lop Buri","Phatthana Nikhom",,
1160,Pathein,Coal,Planned,660,,India,"Tata Power Pathein India",,,," ",Myanmar,Ayeyarwady,Bassein,,
1161,"Patthalung Green Power Company Limited",Biomass,Unknown,9.2,2013,Thailand,"Patthalung Green Power Company Limited holding company is TPC Power Holding PLC"," aditional shareholder is Wood Work Energy Co Ltd.",,,,"Stepwise Energy Management Co",,Thailand,,
1162,"Paunglaung Lower",Hydro,Operational,280,2005,Myanmar,"MOEE/MOALI Myanmar",China,"China Exim Bank China",China,"Yunnan Machinery Equipment Import and Export Company/Power Construction Corp China",Myanmar,Mandalay,Yamethin,,
1163,"Paunglaung Midle",Hydro,Planned,152,,Singapore,"Energize Myanmar Singapore",,,," ",Myanmar,Shan,Taunggye,,
1164,"Paunglaung Upper",Hydro,Operational,140,2015,Myanmar,"MEPE Myanmar",China,"China Exim Bank China","China; Switzerland; United Kingdom; Germany","Yunnan Machinery Import Export/COLENCO/Power Construction Corp"," China Swiss company AF Colenco ;Yunnan Machinery Export Company; British:Malcolm Dunstan and Associates; German: FOSCE Consulting Engineers China",Myanmar,Mandalay,,
